epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9153.06,1.30774,1.50332,1.59186,0.62569,0.71001,0.72708,0.49333,1.35679,1.40489,1.63414,5.22683e-05,5.22683e-05,5.22683e-05
42,9374.2,1.28943,1.43946,1.57396,0.62438,0.72131,0.7283,0.49462,1.35268,1.39851,1.63127,4.35288e-05,4.35288e-05,4.35288e-05
43,9595.12,1.28102,1.41186,1.56652,0.65346,0.71212,0.72922,0.49646,1.34942,1.38925,1.62862,3.56141e-05,3.56141e-05,3.56141e-05
44,9814.85,1.27577,1.38722,1.55859,0.64145,0.72319,0.73139,0.49894,1.34635,1.38106,1.62639,2.85553e-05,2.85553e-05,2.85553e-05
45,10034.3,1.26853,1.37937,1.55283,0.65585,0.7288,0.73522,0.50417,1.3424,1.37391,1.62341,2.23803e-05,2.23803e-05,2.23803e-05
46,10254.3,1.26493,1.36371,1.556,0.65499,0.72425,0.7373,0.50615,1.34023,1.36794,1.62192,1.71135e-05,1.71135e-05,1.71135e-05
47,10475.2,1.26,1.34826,1.54765,0.65599,0.72526,0.73995,0.50789,1.33896,1.3639,1.62091,1.27757e-05,1.27757e-05,1.27757e-05
48,10695.8,1.25417,1.34733,1.54475,0.65697,0.72938,0.74375,0.51052,1.33781,1.36066,1.62018,9.38391e-06,9.38391e-06,9.38391e-06
49,10917,1.25887,1.33889,1.54976,0.65433,0.73732,0.74497,0.51148,1.33682,1.35822,1.61944,6.95161e-06,6.95161e-06,6.95161e-06
50,11137.7,1.25605,1.3311,1.54585,0.67471,0.73189,0.74703,0.51354,1.3363,1.35548,1.61923,5.48838e-06,5.48838e-06,5.48838e-06
