epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9281.1,1.38131,2.12075,1.58969,0.63628,0.69287,0.69903,0.46593,1.40251,1.47963,1.65872,0.00032155,0.00032155,0.00032155
43,9500.87,1.375,2.11071,1.58682,0.64162,0.67809,0.7035,0.47167,1.40061,1.47121,1.65655,0.000314051,0.000314051,0.000314051
44,9721.63,1.3705,2.07981,1.581,0.63785,0.68534,0.70976,0.47602,1.39617,1.45978,1.65253,0.00030649,0.00030649,0.00030649
45,9941.23,1.37616,2.06488,1.58512,0.64658,0.70261,0.71378,0.48097,1.39325,1.4484,1.65056,0.000298877,0.000298877,0.000298877
46,10161.3,1.3639,2.03395,1.57624,0.65004,0.71339,0.71968,0.4859,1.39056,1.43488,1.64783,0.000291218,0.000291218,0.000291218
47,10382,1.36087,2.02474,1.56911,0.65311,0.70479,0.72102,0.48672,1.38705,1.42515,1.64489,0.00028352,0.00028352,0.00028352
48,10603,1.36169,2.02687,1.57691,0.64336,0.71854,0.72261,0.48963,1.38224,1.4166,1.64138,0.000275792,0.000275792,0.000275792
49,10823.1,1.35377,1.9951,1.56483,0.65148,0.72223,0.72745,0.49258,1.37936,1.40755,1.63921,0.000268041,0.000268041,0.000268041
50,11043.5,1.34996,1.99293,1.56884,0.65803,0.71199,0.72634,0.4926,1.37733,1.39888,1.63767,0.000260274,0.000260274,0.000260274
51,11263.9,1.3478,1.9637,1.5655,0.67085,0.70092,0.72774,0.49434,1.37477,1.39153,1.63589,0.0002525,0.0002525,0.0002525
52,11484.4,1.34157,1.9562,1.56112,0.67003,0.70605,0.72939,0.49604,1.3721,1.38272,1.63359,0.000244726,0.000244726,0.000244726
53,11704.9,1.33885,1.94053,1.55813,0.66688,0.72246,0.73398,0.49935,1.3696,1.37556,1.63179,0.000236959,0.000236959,0.000236959
54,11925.4,1.32888,1.92632,1.55425,0.68105,0.70777,0.73635,0.5011,1.36739,1.36864,1.63008,0.000229208,0.000229208,0.000229208
55,12145.8,1.33082,1.90984,1.55633,0.68006,0.71485,0.73966,0.5038,1.36459,1.36178,1.62826,0.00022148,0.00022148,0.00022148
56,12366.4,1.31999,1.88879,1.54399,0.68012,0.7179,0.7414,0.50624,1.36306,1.35496,1.62724,0.000213782,0.000213782,0.000213782
57,12586.7,1.32307,1.88463,1.54802,0.68534,0.72266,0.74309,0.50757,1.36132,1.35021,1.62609,0.000206123,0.000206123,0.000206123
58,12807.2,1.32099,1.8637,1.54661,0.69028,0.72195,0.74374,0.50932,1.36018,1.34472,1.62528,0.00019851,0.00019851,0.00019851
59,13028,1.31521,1.8499,1.54719,0.68779,0.72641,0.74558,0.51061,1.35866,1.34005,1.62435,0.000190949,0.000190949,0.000190949
60,13248.7,1.31651,1.84946,1.54143,0.68907,0.7248,0.74739,0.51243,1.35728,1.33494,1.6234,0.00018345,0.00018345,0.00018345
61,13468.7,1.30277,1.81559,1.5359,0.69108,0.72417,0.74951,0.5141,1.35584,1.33006,1.62239,0.000176018,0.000176018,0.000176018
62,13688.6,1.31158,1.82079,1.53866,0.69218,0.72838,0.75259,0.51645,1.35439,1.32595,1.62137,0.000168662,0.000168662,0.000168662
63,13908.4,1.29905,1.79385,1.53302,0.69229,0.73466,0.75228,0.51785,1.35271,1.32169,1.62021,0.000161389,0.000161389,0.000161389
64,14128.8,1.29536,1.77629,1.53197,0.69572,0.73288,0.7536,0.51911,1.35112,1.31742,1.61909,0.000154206,0.000154206,0.000154206
65,14349,1.29045,1.75943,1.52292,0.69434,0.73759,0.75606,0.5206,1.35001,1.31336,1.61824,0.00014712,0.00014712,0.00014712
66,14569.8,1.28733,1.75576,1.52655,0.69898,0.74023,0.75633,0.52243,1.34855,1.30923,1.6172,0.000140137,0.000140137,0.000140137
67,14789.7,1.2814,1.74236,1.52344,0.7021,0.7383,0.75781,0.52351,1.34711,1.30477,1.61615,0.000133266,0.000133266,0.000133266
68,15010.3,1.28141,1.73703,1.52103,0.70199,0.74044,0.75814,0.52404,1.34574,1.30085,1.61506,0.000126512,0.000126512,0.000126512
69,15231.4,1.27749,1.70494,1.51796,0.7047,0.7424,0.75936,0.52479,1.34438,1.29651,1.61416,0.000119883,0.000119883,0.000119883
70,15452.4,1.28677,1.72702,1.52183,0.70543,0.74518,0.76074,0.52565,1.34313,1.2927,1.61324,0.000113384,0.000113384,0.000113384
71,15673.5,1.26943,1.69651,1.51589,0.70759,0.7453,0.76215,0.52764,1.3417,1.28901,1.61226,0.000107023,0.000107023,0.000107023
72,15894.4,1.2657,1.68001,1.51108,0.71178,0.74623,0.76336,0.52943,1.34023,1.28515,1.61127,0.000100806,0.000100806,0.000100806
73,16114.7,1.26754,1.66945,1.50871,0.71357,0.74991,0.76463,0.53093,1.33872,1.28197,1.61023,9.47376e-05,9.47376e-05,9.47376e-05
74,16334.5,1.26347,1.66337,1.50998,0.71368,0.75096,0.76663,0.53238,1.33755,1.27879,1.6093,8.88253e-05,8.88253e-05,8.88253e-05
75,16554.3,1.25743,1.66771,1.50698,0.71717,0.74997,0.76766,0.53374,1.33633,1.27525,1.60843,8.30746e-05,8.30746e-05,8.30746e-05
76,16775.3,1.25839,1.63961,1.50299,0.71916,0.7496,0.76863,0.53488,1.33528,1.27237,1.6076,7.74911e-05,7.74911e-05,7.74911e-05
77,16995.6,1.25541,1.64138,1.505,0.72095,0.74741,0.76903,0.53491,1.33411,1.26939,1.60673,7.20803e-05,7.20803e-05,7.20803e-05
78,17216.2,1.24451,1.61854,1.49703,0.72271,0.74777,0.76956,0.53575,1.33297,1.26664,1.60586,6.68475e-05,6.68475e-05,6.68475e-05
79,17438,1.24821,1.60635,1.49664,0.73015,0.74276,0.77283,0.53805,1.33191,1.26374,1.60511,6.1798e-05,6.1798e-05,6.1798e-05
80,17658.7,1.24629,1.618,1.49776,0.73242,0.74181,0.77286,0.53832,1.33088,1.26108,1.60438,5.69366e-05,5.69366e-05,5.69366e-05
81,17880.2,1.24605,1.60816,1.49575,0.73424,0.74262,0.77461,0.5395,1.32977,1.25867,1.60352,5.22683e-05,5.22683e-05,5.22683e-05
82,18100,1.24201,1.59437,1.49535,0.73714,0.74233,0.77543,0.54034,1.32875,1.25546,1.60275,4.77976e-05,4.77976e-05,4.77976e-05
83,18320.5,1.24303,1.58675,1.49093,0.74172,0.74395,0.77661,0.54184,1.32754,1.25283,1.60191,4.35288e-05,4.35288e-05,4.35288e-05
84,18540.6,1.24437,1.5884,1.49559,0.74248,0.74505,0.77757,0.54259,1.3266,1.25038,1.60123,3.94663e-05,3.94663e-05,3.94663e-05
85,18762,1.24082,1.57954,1.49351,0.74418,0.74352,0.77834,0.54375,1.32529,1.24744,1.60037,3.56141e-05,3.56141e-05,3.56141e-05
86,18982.8,1.23101,1.58125,1.49287,0.7479,0.74183,0.77924,0.54506,1.32427,1.2452,1.59967,3.19759e-05,3.19759e-05,3.19759e-05
87,19202.6,1.23865,1.58045,1.48833,0.75022,0.74125,0.7811,0.54658,1.32308,1.24209,1.59877,2.85553e-05,2.85553e-05,2.85553e-05
88,19422.2,1.22945,1.56667,1.48949,0.75159,0.73972,0.78135,0.54708,1.32209,1.23958,1.59825,2.53557e-05,2.53557e-05,2.53557e-05
89,19642.1,1.23474,1.57089,1.49008,0.75405,0.74234,0.78336,0.5486,1.32111,1.23688,1.59753,2.23803e-05,2.23803e-05,2.23803e-05
90,19862.6,1.23087,1.55018,1.48652,0.75683,0.7413,0.78482,0.5498,1.32,1.2345,1.59678,1.9632e-05,1.9632e-05,1.9632e-05
91,20083,1.11293,1.06267,1.49917,0.75945,0.74159,0.78676,0.55099,1.31905,1.23193,1.59619,1.71135e-05,1.71135e-05,1.71135e-05
92,20303.5,1.10965,1.0544,1.4939,0.75501,0.74563,0.7877,0.55254,1.3179,1.22943,1.59539,1.48273e-05,1.48273e-05,1.48273e-05
93,20524.7,1.11011,1.04391,1.48965,0.75875,0.74242,0.78855,0.5538,1.31688,1.227,1.59466,1.27757e-05,1.27757e-05,1.27757e-05
94,20744.5,1.10608,1.04287,1.49002,0.77048,0.7378,0.7896,0.55468,1.31579,1.22495,1.59391,1.09606e-05,1.09606e-05,1.09606e-05
95,20964.5,1.10852,1.0381,1.48819,0.76714,0.73807,0.79038,0.55581,1.31474,1.22264,1.59322,9.38391e-06,9.38391e-06,9.38391e-06
96,21184.3,1.10467,1.04313,1.4873,0.77192,0.73711,0.79163,0.55697,1.31363,1.2204,1.59247,8.04714e-06,8.04714e-06,8.04714e-06
97,21404.1,1.09994,1.03331,1.48798,0.77462,0.73977,0.7929,0.558,1.31269,1.21837,1.59184,6.95161e-06,6.95161e-06,6.95161e-06
98,21624.2,1.10167,1.03313,1.48819,0.77607,0.74052,0.79341,0.55861,1.31166,1.21633,1.5912,6.09841e-06,6.09841e-06,6.09841e-06
99,21843.6,1.1021,1.03941,1.487,0.77492,0.74352,0.79416,0.55881,1.31074,1.21411,1.59065,5.48838e-06,5.48838e-06,5.48838e-06
100,22063,1.09863,1.02753,1.48073,0.77407,0.7444,0.7942,0.55917,1.30982,1.21234,1.59001,5.12213e-06,5.12213e-06,5.12213e-06
