epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18717.4,2.00453,1.65651,2.40954,0.54331,0.61915,0.60976,0.39912,1.92613,1.03086,2.6153,0.00032155,0.00032155,0.00032155
43,19160.4,1.98525,1.65858,2.39934,0.53965,0.63562,0.61124,0.40309,1.91881,1.02423,2.60874,0.000314051,0.000314051,0.000314051
44,19605.7,1.9918,1.64462,2.40182,0.54577,0.63054,0.61635,0.407,1.91112,1.0174,2.60253,0.00030649,0.00030649,0.00030649
45,20049.4,1.99496,1.63698,2.39861,0.54381,0.63262,0.62159,0.41058,1.90592,1.01075,2.59758,0.000298877,0.000298877,0.000298877
46,20493.8,1.97185,1.61419,2.3869,0.55348,0.63827,0.62142,0.41151,1.90257,1.00563,2.59385,0.000291218,0.000291218,0.000291218
47,20938.9,1.98718,1.62867,2.40325,0.55391,0.62642,0.62332,0.41385,1.90006,1.00029,2.59049,0.00028352,0.00028352,0.00028352
48,21382.2,1.97192,1.61643,2.38678,0.5601,0.62376,0.62632,0.41665,1.89676,0.99497,2.58809,0.000275792,0.000275792,0.000275792
49,21825.8,1.9699,1.60379,2.38318,0.55807,0.63709,0.62861,0.41986,1.89346,0.99006,2.58593,0.000268041,0.000268041,0.000268041
50,22271.8,1.96841,1.59542,2.38184,0.55695,0.64007,0.62926,0.42131,1.88927,0.98513,2.58175,0.000260274,0.000260274,0.000260274
51,22716.4,1.96272,1.59722,2.38205,0.56357,0.64555,0.63276,0.42391,1.88587,0.98061,2.57865,0.0002525,0.0002525,0.0002525
52,23160.2,1.95658,1.5749,2.37926,0.57348,0.64056,0.63598,0.42561,1.88161,0.97622,2.57462,0.000244726,0.000244726,0.000244726
53,23604.6,1.95164,1.56253,2.37086,0.57585,0.6387,0.63934,0.42903,1.87869,0.97182,2.57136,0.000236959,0.000236959,0.000236959
54,24048.9,1.95712,1.57017,2.37354,0.57817,0.64202,0.64235,0.43094,1.87644,0.96747,2.56931,0.000229208,0.000229208,0.000229208
55,24491.8,1.93953,1.54334,2.36739,0.58321,0.63788,0.64229,0.43203,1.8741,0.96406,2.56686,0.00022148,0.00022148,0.00022148
56,24936.5,1.93626,1.53792,2.36317,0.58215,0.64393,0.64436,0.43421,1.87231,0.96151,2.56519,0.000213782,0.000213782,0.000213782
57,25379.9,1.93189,1.52033,2.35545,0.57117,0.6454,0.64541,0.43484,1.86975,0.95909,2.56275,0.000206123,0.000206123,0.000206123
58,25823.3,1.92794,1.52473,2.35112,0.57208,0.64591,0.64614,0.43551,1.86757,0.95644,2.56102,0.00019851,0.00019851,0.00019851
59,26268.1,1.92901,1.52509,2.34974,0.57236,0.64318,0.64753,0.43659,1.86553,0.9537,2.55906,0.000190949,0.000190949,0.000190949
60,26712,1.92834,1.50679,2.35002,0.57509,0.64505,0.64881,0.43768,1.86348,0.95105,2.5572,0.00018345,0.00018345,0.00018345
61,27154.4,1.91549,1.4973,2.34158,0.58006,0.64932,0.64979,0.43843,1.86131,0.94826,2.55532,0.000176018,0.000176018,0.000176018
62,27599.6,1.914,1.48688,2.33725,0.58221,0.64871,0.65091,0.43885,1.85968,0.94617,2.55397,0.000168662,0.000168662,0.000168662
63,28043.5,1.90803,1.4952,2.33916,0.58289,0.65242,0.65339,0.44071,1.85749,0.94383,2.55208,0.000161389,0.000161389,0.000161389
64,28487.4,1.90006,1.47864,2.32828,0.58943,0.64745,0.65538,0.44272,1.85573,0.94144,2.55043,0.000154206,0.000154206,0.000154206
65,28932.4,1.90069,1.46531,2.32797,0.59298,0.64872,0.65685,0.44434,1.85399,0.9391,2.54873,0.00014712,0.00014712,0.00014712
66,29376.7,1.89392,1.4625,2.32438,0.59598,0.64696,0.65815,0.44531,1.85213,0.93671,2.54706,0.000140137,0.000140137,0.000140137
67,29821.2,1.89654,1.4643,2.32286,0.59618,0.64824,0.65923,0.44621,1.85039,0.93434,2.54555,0.000133266,0.000133266,0.000133266
68,30266.2,1.88394,1.45921,2.32231,0.59217,0.6559,0.66056,0.44764,1.84845,0.93216,2.54395,0.000126512,0.000126512,0.000126512
69,30710.2,1.87911,1.44576,2.31945,0.59051,0.66147,0.66213,0.44919,1.84655,0.93015,2.54248,0.000119883,0.000119883,0.000119883
70,31153.9,1.88279,1.4491,2.31907,0.59223,0.66257,0.66305,0.45043,1.84477,0.92815,2.54109,0.000113384,0.000113384,0.000113384
71,31596.2,1.87041,1.43353,2.31026,0.58968,0.66122,0.66358,0.44999,1.84311,0.92646,2.53974,0.000107023,0.000107023,0.000107023
72,32040.3,1.86831,1.42101,2.30794,0.59225,0.66102,0.66463,0.4507,1.84197,0.92451,2.53875,0.000100806,0.000100806,0.000100806
73,32484.4,1.86532,1.42385,2.30566,0.59186,0.66576,0.66544,0.45089,1.8403,0.9224,2.53739,9.47376e-05,9.47376e-05,9.47376e-05
74,32929.1,1.85419,1.41228,2.2985,0.59357,0.66634,0.66572,0.45127,1.83894,0.92058,2.53647,8.88253e-05,8.88253e-05,8.88253e-05
75,33373.2,1.8629,1.40879,2.30124,0.59556,0.67092,0.66666,0.45258,1.83769,0.91892,2.53545,8.30746e-05,8.30746e-05,8.30746e-05
76,33817.1,1.86285,1.41119,2.30139,0.59455,0.6725,0.66738,0.4536,1.83632,0.91731,2.53431,7.74911e-05,7.74911e-05,7.74911e-05
77,34261.6,1.85331,1.40385,2.29468,0.59419,0.6735,0.66831,0.4543,1.83477,0.91554,2.53305,7.20803e-05,7.20803e-05,7.20803e-05
78,34705.3,1.85316,1.40109,2.30193,0.59836,0.67235,0.66895,0.45506,1.83341,0.91407,2.53196,6.68475e-05,6.68475e-05,6.68475e-05
79,35148.2,1.84956,1.38816,2.28949,0.59975,0.67096,0.66883,0.45533,1.83206,0.91229,2.53078,6.1798e-05,6.1798e-05,6.1798e-05
80,35591.8,1.84265,1.387,2.28912,0.60397,0.66606,0.66952,0.45624,1.83071,0.91066,2.52968,5.69366e-05,5.69366e-05,5.69366e-05
81,36035.3,1.84295,1.38869,2.28986,0.60683,0.66578,0.67059,0.45747,1.82957,0.90931,2.5287,5.22683e-05,5.22683e-05,5.22683e-05
82,36479.9,1.84339,1.3848,2.28824,0.60792,0.66863,0.6712,0.45708,1.82845,0.9078,2.52777,4.77976e-05,4.77976e-05,4.77976e-05
83,36923,1.83626,1.38796,2.28211,0.60993,0.66832,0.67251,0.45854,1.8271,0.90645,2.52659,4.35288e-05,4.35288e-05,4.35288e-05
84,37368,1.84074,1.37759,2.28559,0.61095,0.66629,0.67307,0.45891,1.82587,0.90507,2.52575,3.94663e-05,3.94663e-05,3.94663e-05
85,37810.7,1.83586,1.38178,2.2857,0.61258,0.66678,0.67418,0.46,1.82458,0.90383,2.52468,3.56141e-05,3.56141e-05,3.56141e-05
86,38254.2,1.83357,1.36744,2.28017,0.61264,0.66845,0.67454,0.46076,1.82335,0.90232,2.52381,3.19759e-05,3.19759e-05,3.19759e-05
87,38698.1,1.83576,1.38239,2.28044,0.61204,0.66882,0.67504,0.46159,1.82201,0.90109,2.52272,2.85553e-05,2.85553e-05,2.85553e-05
88,39139.8,1.8269,1.37146,2.27273,0.61273,0.66975,0.67604,0.46234,1.82082,0.90005,2.52178,2.53557e-05,2.53557e-05,2.53557e-05
89,39584.1,1.82437,1.36289,2.2701,0.61393,0.67067,0.67636,0.4629,1.81962,0.89897,2.52092,2.23803e-05,2.23803e-05,2.23803e-05
90,40027,1.82959,1.35837,2.27076,0.61503,0.66849,0.67682,0.46374,1.81847,0.8976,2.52004,1.9632e-05,1.9632e-05,1.9632e-05
91,40466.4,1.60949,0.90345,2.28809,0.61462,0.67287,0.67778,0.46429,1.81716,0.89664,2.51913,1.71135e-05,1.71135e-05,1.71135e-05
92,40905.5,1.59513,0.88247,2.27555,0.62191,0.66463,0.67889,0.46534,1.81576,0.89568,2.51824,1.48273e-05,1.48273e-05,1.48273e-05
93,41345.3,1.59628,0.87,2.27271,0.61959,0.66725,0.67926,0.46557,1.81431,0.89437,2.51707,1.27757e-05,1.27757e-05,1.27757e-05
94,41784.3,1.58526,0.86383,2.26265,0.61307,0.682,0.68016,0.4663,1.8131,0.89336,2.51611,1.09606e-05,1.09606e-05,1.09606e-05
95,42223.8,1.58602,0.85824,2.26487,0.61333,0.6841,0.68107,0.46707,1.81144,0.89239,2.51502,9.38391e-06,9.38391e-06,9.38391e-06
96,42662,1.58073,0.86073,2.25818,0.61598,0.68281,0.6818,0.46753,1.80992,0.89139,2.51394,8.04714e-06,8.04714e-06,8.04714e-06
97,43098.8,1.57816,0.85695,2.25852,0.61487,0.68431,0.68237,0.46826,1.80848,0.89021,2.51291,6.95161e-06,6.95161e-06,6.95161e-06
98,43538.6,1.57518,0.85373,2.25884,0.61732,0.68257,0.68389,0.46931,1.80717,0.8895,2.51186,6.09841e-06,6.09841e-06,6.09841e-06
99,43977,1.57667,0.85594,2.25089,0.61827,0.68206,0.68531,0.47048,1.80569,0.88839,2.51079,5.48838e-06,5.48838e-06,5.48838e-06
100,44414.7,1.57511,0.84983,2.25444,0.61803,0.68118,0.68632,0.47133,1.80447,0.88717,2.50981,5.12213e-06,5.12213e-06,5.12213e-06
