epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9163.34,1.50075,2.31694,1.83433,0.54638,0.4963,0.51585,0.32492,1.5088,2.04363,1.85917,5.22683e-05,5.22683e-05,5.22683e-05
42,9383.18,1.48219,2.23259,1.81838,0.52521,0.50488,0.52076,0.32853,1.50397,2.03105,1.85423,4.35288e-05,4.35288e-05,4.35288e-05
43,9603.35,1.4685,2.19068,1.8067,0.54577,0.49654,0.52704,0.33334,1.50048,2.02082,1.85248,3.56141e-05,3.56141e-05,3.56141e-05
44,9823.5,1.46489,2.17412,1.80128,0.53389,0.50322,0.52991,0.33547,1.49812,2.01035,1.85116,2.85553e-05,2.85553e-05,2.85553e-05
45,10044.1,1.46153,2.15721,1.79928,0.55225,0.50382,0.53363,0.33792,1.4951,2.00172,1.84956,2.23803e-05,2.23803e-05,2.23803e-05
46,10265.1,1.45743,2.12969,1.80104,0.54272,0.50708,0.53594,0.33918,1.49344,1.99419,1.84886,1.71135e-05,1.71135e-05,1.71135e-05
47,10486.4,1.4535,2.12534,1.79182,0.56684,0.50427,0.53781,0.34059,1.49225,1.98846,1.84804,1.27757e-05,1.27757e-05,1.27757e-05
48,10707.7,1.44792,2.11874,1.79061,0.5537,0.50798,0.5399,0.34205,1.49076,1.98316,1.84696,9.38391e-06,9.38391e-06,9.38391e-06
49,10929.8,1.44913,2.11269,1.79256,0.55202,0.50975,0.54185,0.3434,1.48978,1.97944,1.84593,6.95161e-06,6.95161e-06,6.95161e-06
50,11150.3,1.45101,2.10634,1.7877,0.55023,0.51293,0.54334,0.34455,1.48914,1.97598,1.84524,5.48838e-06,5.48838e-06,5.48838e-06
